id,yearOfRegistration,Datasource,gender,ageBroad,majorityStatus,majorityStatusAtExploit,citizenship,meansOfControlTakesEarnings,meansOfControlThreats,meansOfControlPsychologicalAbuse,meansOfControlPhysicalAbuse,meansOfControlSexualAbuse,meansOfControlPsychoactiveSubstances,meansOfControlRestrictsMovement,meansOfControlUsesChildren,meansOfControlThreatOfLawEnforcement,isForcedLabour,isSexualExploit,isOtherExploit,isAbduction,recruiterRelationIntimatePartner,recruiterRelationFriend,recruiterRelationFamily,recruiterRelationOther
18757,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,1,1,1,-99,1,-99,-99,0,1,0,0,0,0,1,0
18758,2015,Hotline,Female,18--20,Adult,Minor,US,1,1,1,1,-99,-99,1,-99,-99,0,1,0,0,-99,-99,-99,-99
18759,2015,Hotline,Female,18--20,Adult,Adult,US,1,-99,-99,-99,-99,1,1,-99,-99,0,1,0,0,1,0,0,0
18760,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,1,-99,1,1,1,-99,-99,0,1,0,0,1,0,0,0
18761,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,1,-99,-99,-99,-99,-99,-99,0,1,0,0,1,0,0,0
18762,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,1,-99,-99,-99,-99,-99,-99,0,1,0,0,-99,-99,-99,-99
18763,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18764,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,1,-99,-99,1,-99,-99,0,1,0,-99,-99,-99,-99,-99
18765,2015,Hotline,Female,18--20,Adult,Minor,US,-99,1,-99,1,-99,-99,1,-99,-99,0,1,0,-99,0,0,0,1
18766,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,-99,-99,-99,-99,1,-99,-99,0,1,0,-99,-99,-99,-99,-99
18767,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,-99,-99,-99,1,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18768,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18769,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,1,-99,-99,0,1,0,-99,-99,-99,-99,-99
18770,2015,Hotline,Female,18--20,Adult,-99,US,1,1,1,1,1,-99,1,-99,-99,0,1,0,-99,-99,-99,-99,-99
18771,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,-99,1,1,1,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18772,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,-99,-99,-99,-99,1,-99,-99,0,1,0,-99,-99,-99,-99,-99
18773,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,1,-99,-99,0,1,0,-99,-99,-99,-99,-99
18774,2015,Hotline,Female,18--20,Adult,Minor,US,-99,1,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18775,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,-99,1,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18776,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,1,-99,1,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18777,2015,Hotline,Female,18--20,Adult,Minor,US,-99,1,-99,-99,-99,-99,1,-99,-99,0,1,0,-99,-99,-99,-99,-99
18778,2015,Hotline,Female,18--20,Adult,Minor,US,1,-99,-99,1,-99,-99,1,-99,-99,0,1,0,-99,0,0,0,1
18779,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,1,-99,-99,0,1,0,-99,-99,-99,-99,-99
18780,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,1,-99,-99,0,1,0,-99,-99,-99,-99,-99
18781,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,-99,1,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18782,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18783,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,0,0,0,1
18784,2015,Hotline,Female,18--20,Adult,Minor,US,1,1,1,1,1,-99,1,-99,-99,0,1,0,-99,1,0,0,0
18785,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18786,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,1,-99,-99,0,1,0,-99,-99,-99,-99,-99
18787,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18788,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18789,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,1,-99,-99,1,-99,-99,-99,0,1,0,0,0,0,1,0
18790,2015,Hotline,Female,18--20,Adult,Adult,US,1,-99,-99,1,-99,-99,1,-99,-99,0,1,0,0,-99,-99,-99,-99
18791,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,1,1,1,-99,-99,-99,-99,0,1,0,0,1,0,0,0
18792,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,1,-99,-99,-99,1,-99,-99,0,1,0,0,1,0,0,0
18793,2015,Hotline,Female,18--20,Adult,Minor,US,-99,1,1,1,-99,-99,-99,-99,-99,0,1,0,0,1,0,0,0
18794,2015,Hotline,Female,18--20,Adult,Adult,US,-99,-99,-99,-99,-99,1,-99,-99,-99,0,1,0,0,-99,-99,-99,-99
18795,2015,Hotline,Female,18--20,Adult,Minor,US,1,1,1,1,1,1,1,-99,-99,0,1,0,0,1,0,0,0
18796,2015,Hotline,Female,18--20,Adult,-99,US,-99,1,1,-99,-99,-99,1,-99,-99,0,1,0,0,1,0,0,0
18797,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,1,-99,-99,-99,-99,-99,-99,0,1,0,0,0,0,1,0
18798,2015,Hotline,Female,18--20,Adult,Minor,US,-99,1,1,-99,-99,-99,-99,-99,-99,0,1,0,0,1,0,0,0
18799,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,0,1,0,0,0
18800,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,0,1,0,0,0
18801,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,0,1,0,0,0
18802,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,1,-99,-99,-99,-99,-99,-99,0,1,0,0,-99,-99,-99,-99
18803,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,1,1,-99,-99,-99,-99,-99,0,1,0,0,1,0,0,0
18804,2015,Hotline,Female,18--20,Adult,Adult,US,-99,-99,1,1,-99,-99,1,-99,-99,0,1,0,0,1,0,0,0
18805,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,1,1,-99,-99,-99,-99,-99,0,1,0,0,0,0,1,0
18806,2015,Hotline,Female,18--20,Adult,Minor,US,-99,1,1,1,-99,-99,1,-99,-99,0,1,0,0,1,0,0,0
18807,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,-99,1,1,-99,-99,-99,-99,0,1,0,0,0,0,0,1
18808,2015,Hotline,Female,18--20,Adult,Minor,US,1,1,1,1,-99,1,1,-99,-99,0,1,0,0,0,0,1,1
18809,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,1,-99,-99,1,-99,-99,-99,0,1,0,0,0,0,1,0
18810,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,1,-99,-99,-99,-99,-99,-99,0,1,0,0,0,0,1,0
18811,2015,Hotline,Female,18--20,Adult,-99,US,1,-99,1,1,-99,-99,-99,-99,-99,0,1,0,0,1,0,0,0
18812,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,0,0,0,1,0
18813,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,0,0,0,1,0
18814,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18815,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18816,2015,Hotline,Female,18--20,Adult,-99,US,-99,1,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18817,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18818,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18819,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,-99,1,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18820,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18821,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18822,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,1,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18823,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,-99,1,-99,1,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18824,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18825,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18826,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18827,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18828,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18829,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18830,2015,Hotline,Female,18--20,Adult,Minor,US,-99,1,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18831,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18832,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18833,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18834,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18835,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18836,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18837,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18838,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18839,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18840,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,-99,-99,1,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18841,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18842,2015,Hotline,Female,18--20,Adult,Minor,US,-99,1,-99,-99,-99,-99,1,-99,-99,0,1,0,-99,-99,-99,-99,-99
18843,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18844,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18845,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18846,2015,Hotline,Female,18--20,Adult,Adult,US,-99,1,-99,1,-99,-99,1,-99,-99,0,1,0,-99,-99,-99,-99,-99
18847,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,-99,1,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18848,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18849,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18850,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18851,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18852,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18853,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18854,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18855,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18856,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18857,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18858,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18859,2015,Hotline,Female,18--20,Adult,Minor,US,-99,1,-99,-99,-99,-99,1,-99,-99,0,1,0,-99,-99,-99,-99,-99
18860,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18861,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18862,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18863,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18864,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18865,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18866,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18963,2015,Hotline,Female,21--23,Adult,Minor,US,-99,-99,1,-99,-99,1,-99,-99,-99,0,1,0,0,1,0,0,0
18964,2015,Hotline,Female,21--23,Adult,-99,US,-99,-99,1,-99,-99,-99,-99,-99,-99,0,1,0,0,1,0,0,0
18965,2015,Hotline,Female,21--23,Adult,Adult,US,-99,-99,1,-99,-99,-99,-99,-99,-99,0,1,0,0,1,0,0,0
18966,2015,Hotline,Female,21--23,Adult,-99,US,1,1,1,-99,-99,1,1,-99,-99,0,1,0,0,0,0,0,1
18967,2015,Hotline,Female,21--23,Adult,Minor,US,-99,-99,-99,-99,-99,1,1,-99,-99,0,1,0,0,-99,-99,-99,-99
18968,2015,Hotline,Female,21--23,Adult,-99,US,1,-99,-99,-99,-99,-99,1,-99,-99,0,1,0,0,0,0,0,1
18969,2015,Hotline,Female,21--23,Adult,Minor,US,-99,-99,1,1,1,-99,1,-99,-99,0,1,0,0,1,0,0,0
18970,2015,Hotline,Female,21--23,Adult,Adult,US,1,1,-99,1,-99,-99,-99,-99,-99,0,1,0,0,-99,-99,-99,-99
18971,2015,Hotline,Female,21--23,Adult,-99,US,-99,-99,1,1,-99,-99,1,-99,-99,0,1,0,0,-99,-99,-99,-99
18972,2015,Hotline,Female,21--23,Adult,Minor,US,-99,-99,1,-99,-99,1,1,-99,-99,0,1,0,0,-99,-99,-99,-99
18973,2015,Hotline,Female,21--23,Adult,Minor,US,1,1,1,1,1,1,1,-99,-99,0,1,0,0,1,0,1,0
18974,2015,Hotline,Female,21--23,Adult,Minor,US,-99,-99,1,-99,-99,-99,-99,1,-99,0,1,0,0,1,0,0,0
18975,2015,Hotline,Female,21--23,Adult,Minor,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,0,0,0,0,1
18976,2015,Hotline,Female,21--23,Adult,-99,US,1,1,1,1,1,1,1,1,-99,0,1,0,0,1,0,0,1
18977,2015,Hotline,Female,21--23,Adult,Minor,US,1,-99,1,-99,-99,-99,1,1,-99,0,1,0,0,1,0,0,0
18978,2015,Hotline,Female,21--23,Adult,Minor,US,1,-99,-99,1,-99,-99,1,-99,-99,0,1,0,0,0,0,0,1
18979,2015,Hotline,Female,21--23,Adult,Minor,US,-99,-99,1,-99,-99,1,-99,-99,-99,0,1,0,0,1,0,0,0
18980,2015,Hotline,Female,21--23,Adult,Minor,US,1,1,1,-99,1,-99,1,-99,-99,0,1,0,0,0,1,0,0
18981,2015,Hotline,Female,21--23,Adult,-99,US,-99,-99,1,1,-99,-99,1,-99,-99,0,1,0,0,-99,-99,-99,-99
18982,2015,Hotline,Female,21--23,Adult,-99,US,-99,-99,1,-99,-99,-99,-99,-99,-99,0,1,0,0,-99,-99,-99,-99
18983,2015,Hotline,Female,21--23,Adult,-99,US,-99,-99,-99,-99,-99,1,-99,-99,-99,0,1,0,0,0,0,1,0
18984,2015,Hotline,Female,21--23,Adult,-99,US,-99,-99,-99,-99,-99,1,-99,-99,-99,0,1,0,0,0,0,0,1
18985,2015,Hotline,Female,21--23,Adult,-99,US,-99,1,1,1,-99,-99,-99,-99,-99,0,1,0,0,1,0,0,0
18986,2015,Hotline,Female,21--23,Adult,-99,US,-99,-99,-99,1,-99,1,-99,-99,-99,0,1,0,0,-99,-99,-99,-99
18987,2015,Hotline,Female,21--23,Adult,-99,US,1,1,1,1,-99,-99,1,-99,-99,0,1,0,0,-99,-99,-99,-99
18988,2015,Hotline,Female,21--23,Adult,-99,US,-99,-99,-99,1,-99,-99,1,-99,-99,0,1,0,-99,-99,-99,-99,-99
18989,2015,Hotline,Female,21--23,Adult,-99,US,-99,1,-99,-99,-99,-99,1,-99,-99,0,1,0,-99,-99,-99,-99,-99
18990,2015,Hotline,Female,21--23,Adult,Minor,US,-99,-99,-99,1,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18991,2015,Hotline,Female,21--23,Adult,-99,US,1,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18992,2015,Hotline,Female,21--23,Adult,Minor,US,-99,1,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,0,1,0,0
18993,2015,Hotline,Female,21--23,Adult,-99,US,-99,-99,-99,-99,-99,-99,1,-99,-99,0,1,0,-99,-99,-99,-99,-99
18994,2015,Hotline,Female,21--23,Adult,-99,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18995,2015,Hotline,Female,21--23,Adult,Minor,US,-99,1,1,-99,-99,-99,-99,-99,-99,0,1,0,-99,0,1,0,1
18996,2015,Hotline,Female,21--23,Adult,-99,US,-99,1,-99,1,-99,-99,1,-99,-99,0,1,0,-99,-99,-99,-99,-99
18997,2015,Hotline,Female,21--23,Adult,Minor,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18998,2015,Hotline,Female,21--23,Adult,Minor,US,-99,1,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
18999,2015,Hotline,Female,21--23,Adult,Adult,US,-99,1,-99,1,-99,1,1,-99,-99,0,1,0,-99,-99,-99,-99,-99
19000,2015,Hotline,Female,21--23,Adult,Minor,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,-99,-99,-99,-99,-99
19001,2015,Hotline,Female,21--23,Adult,-99,US,1,-99,-99,1,-99,1,1,-99,-99,0,1,0,-99,-99,-99,-99,-99
19002,2015,Hotline,Female,21--23,Adult,Minor,US,-99,-99,-99,1,-99,-99,1,-99,-99,0,1,0,0,1,0,0,0
19003,2015,Hotline,Female,21--23,Adult,-99,US,-99,-99,1,1,-99,-99,-99,-99,-99,0,1,0,0,1,0,0,0
19004,2015,Hotline,Female,21--23,Adult,Adult,US,1,1,1,1,1,1,1,-99,-99,0,1,0,0,0,1,0,0
19005,2015,Hotline,Female,21--23,Adult,-99,US,-99,1,1,-99,1,1,-99,-99,-99,0,1,0,0,0,0,0,1
19006,2015,Hotline,Female,21--23,Adult,Minor,US,1,-99,1,1,1,1,-99,-99,-99,0,1,0,0,1,0,0,0
19007,2015,Hotline,Female,21--23,Adult,Minor,US,-99,-99,-99,-99,-99,-99,1,-99,-99,0,1,0,0,-99,-99,-99,-99
19008,2015,Hotline,Female,21--23,Adult,Minor,US,-99,-99,1,-99,-99,1,-99,-99,-99,0,1,0,0,1,0,0,0
19009,2015,Hotline,Female,21--23,Adult,Minor,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,0,-99,-99,-99,-99
19010,2015,Hotline,Female,21--23,Adult,Minor,US,-99,-99,-99,1,-99,1,1,-99,-99,0,1,0,0,-99,-99,-99,-99
19011,2015,Hotline,Female,21--23,Adult,Minor,US,-99,-99,1,-99,-99,-99,-99,-99,-99,0,1,0,0,0,0,1,0
19012,2015,Hotline,Female,21--23,Adult,Minor,US,-99,-99,1,1,-99,-99,-99,-99,-99,0,1,0,0,1,0,0,0
19013,2015,Hotline,Female,21--23,Adult,Minor,US,-99,-99,1,-99,-99,1,-99,-99,-99,0,1,0,0,1,0,0,0
19014,2015,Hotline,Female,21--23,Adult,-99,US,-99,-99,1,-99,-99,-99,-99,-99,-99,0,1,0,0,0,0,1,0
19015,2015,Hotline,Female,21--23,Adult,Minor,US,-99,-99,-99,-99,-99,1,-99,-99,-99,0,1,0,0,-99,-99,-99,-99
